"A̱o","Semestre","Postgrado","Pregrado","Total"
"2024","1","5731","54567","60298"
"2024","2","2355","31735","34090"
"2023","1","5690","56576","62266"
"2023","2","2734","31095","33829"
"2022","1","5649","44546","50195"
"2022","2","2510","18825","21335"
"2021","1","6203","58729","64932"
"2021","2","3517","19951","23468"
"2020","1","8327","61884","70211"
"2020","2","2866","40465","43331"
"2019","1","7173","75681","82854"
"2019","2","4264","39844","44108"
"2018","1","7431","68409","75840"
"2018","2","4000","44188","48188"
"2017","1","8812","70727","79539"
"2017","2","4119","43240","47359"
"2016","1","7820","67706","75526"
"2016","2","4238","38858","43096"
"2015","1","7610","63320","70930"
"2015","2","4173","41359","45532"
"2014","1","7241","67055","74296"
"2014","2","4180","38639","42819"
"2013","1","6979","68802","75781"
"2013","2","4559","41149","45708"
"2012","1","7385","72001","79386"
"2012","2","3775","34808","38583"
"2011","1","7678","70631","78309"
"2011","2","3941","44742","48683"
"2010","1","7387","66483","73870"
"2010","2","3022","40433","43455"
"2009","1","5726","56002","61728"
"2009","2","3275","37173","40448"
"2008","1","5115","57178","62293"
"2008","2","2158","37651","39809"