"A̱o","Semestre","Postgrado","Pregrado","Total"
"2023","1","7190","49868","57058"
"2023","2","7115","48548","55663"
"2022","1","7036","49433","56469"
"2022","2","6979","50111","57090"
"2021","1","8269","50162","58431"
"2021","2","7317","49789","57106"
"2020","1","7282","36358","43640"
"2020","2","7893","47275","55168"
"2019","1","8683","44621","53304"
"2019","2","8704","45580","54284"
"2018","1","9752","44275","54027"
"2018","2","9308","44413","53721"
"2017","1","9983","43897","53880"
"2017","2","9564","43890","53454"
"2016","1","10027","43555","53582"
"2016","2","9653","43798","53451"
"2015","1","9366","43184","52550"
"2015","2","9268","43409","52677"
"2014","1","9081","42293","51374"
"2014","2","8790","42837","51627"
"2013","1","8878","42428","51306"
"2013","2","8721","42284","51005"
"2012","1","8556","41340","49896"
"2012","2","8147","41505","49652"
"2011","1","8655","40225","48880"
"2011","2","8538","40241","48779"
"2010","1","7439","39314","46753"
"2010","2","7343","39084","46427"
"2009","1","6135","39065","45200"
"2009","2","6371","38680","45051"