"A̱o","Semestre","Postgrado","Pregrado","Total"
"2024","1","1950","7125","9075"
"2024","2","1464","5957","7421"
"2023","1","2022","6238","8260"
"2023","2","1696","5620","7316"
"2022","1","1955","6629","8584"
"2022","2","1387","6206","7593"
"2021","1","2289","6638","8927"
"2021","2","1725","6176","7901"
"2020","1","2799","7003","9802"
"2020","2","1816","5839","7655"
"2019","1","2087","6951","9038"
"2019","2","2314","6163","8477"
"2018","1","2776","7196","9972"
"2018","2","2053","6283","8336"
"2017","1","2827","6713","9540"
"2017","2","2302","5923","8225"
"2016","1","3000","6442","9442"
"2016","2","2266","5882","8148"
"2015","1","2766","6365","9131"
"2015","2","2285","5622","7907"
"2014","1","2562","5588","8150"
"2014","2","2128","5727","7855"
"2013","1","2608","6322","8930"
"2013","2","2251","5034","7285"
"2012","1","2631","6592","9223"
"2012","2","1796","5586","7382"
"2011","1","2780","6703","9483"
"2011","2","2095","5709","7804"
"2010","1","2798","6467","9265"
"2010","2","1756","5823","7579"
"2009","1","2268","5515","7783"
"2009","2","2097","5485","7582"
"2008","1","1939","5695","7634"
"2008","2","1376","5481","6857"