"Año","Semestre","No","Sí","Total"
"2024","1","49407","7176","56583"
"2023","1","50312","6746","57058"
"2023","2","49652","6011","55663"
"2022","1","50345","6124","56469"
"2022","2","51415","5675","57090"
"2021","1","51469","6962","58431"
"2021","2","50925","6181","57106"
"2020","1","36486","7154","43640"
"2020","2","48417","6751","55168"
"2019","1","45617","7687","53304"
"2019","2","47127","7157","54284"
"2018","1","46164","7863","54027"
"2018","2","46787","6934","53721"
"2017","1","46562","7318","53880"
"2017","2","46509","6945","53454"
"2016","1","46105","7477","53582"
"2016","2","46442","7009","53451"
"2015","1","45328","7222","52550"
"2015","2","45995","6682","52677"
"2014","1","44893","6481","51374"
"2014","2","44958","6669","51627"
"2013","1","44065","7241","51306"
"2013","2","44817","6188","51005"
"2012","1","42773","7123","49896"
"2012","2","43424","6228","49652"
"2011","1","40992","7888","48880"
"2011","2","41130","7649","48779"
"2010","1","39520","7233","46753"
"2010","2","40200","6227","46427"
"2009","1","39178","6022","45200"
"2009","2","39520","5531","45051"