"A̱o","Semestre","Hombres","Mujeres","Total"
"2023","1","34107","22951","57058"
"2023","2","33159","22504","55663"
"2022","1","34038","22431","56469"
"2022","2","34264","22826","57090"
"2021","1","35802","22629","58431"
"2021","2","34502","22604","57106"
"2020","1","26987","16653","43640"
"2020","2","34062","21106","55168"
"2019","1","33470","19834","53304"
"2019","2","34043","20241","54284"
"2018","1","34017","20010","54027"
"2018","2","33856","19865","53721"
"2017","1","34002","19878","53880"
"2017","2","33799","19655","53454"
"2016","1","33937","19645","53582"
"2016","2","33802","19649","53451"
"2015","1","33488","19062","52550"
"2015","2","33619","19058","52677"
"2014","1","32561","18813","51374"
"2014","2","32892","18735","51627"
"2013","1","32255","19051","51306"
"2013","2","32278","18727","51005"
"2012","1","30979","18917","49896"
"2012","2","31111","18541","49652"
"2011","1","30361","18519","48880"
"2011","2","30262","18517","48779"
"2010","1","28616","18137","46753"
"2010","2","28535","17892","46427"
"2009","1","27359","17841","45200"
"2009","2","27191","17860","45051"